timestamp,machine_id,node,vibX,vibY,vibZ,courant,rpm,pression,label,label_source
2026-04-16T10:03:28.669000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:29.164000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:29.768000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:30.180000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.9,0.0,0.0,,normal,threshold
2026-04-16T10:03:30.686000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:31.189000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:31.705000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:32.253000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:32.821000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:33.262000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:33.699000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:34.204000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:34.709000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:35.223000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:35.723000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:36.216000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:36.759000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:37.271000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.9,0.0,0.0,,normal,threshold
2026-04-16T10:03:37.952000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:38.232000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:38.738000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:39.236000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.12,0.89,0.0,0.0,,normal,threshold
